,count,mean,median,std,min,25%,50%,75%,max,skewness
fixed acidity,5320.0,7.141,7.0,1.09,4.45,6.4,7.0,7.7,9.65,0.636
volatile acidity,5320.0,0.338,0.3,0.149,0.08,0.23,0.3,0.41,0.68,0.922
citric acid,5320.0,0.316,0.31,0.139,0.0,0.24,0.31,0.4,0.64,-0.024
residual sugar,5320.0,4.984,2.7,4.26,0.6,1.8,2.7,7.5,16.05,1.146
chlorides,5320.0,0.054,0.047,0.022,0.009,0.038,0.047,0.066,0.108,0.952
free sulfur dioxide,5320.0,29.858,28.0,16.923,1.0,16.0,28.0,41.0,78.5,0.55
total sulfur dioxide,5320.0,114.016,116.0,56.436,6.0,74.0,116.0,153.25,272.125,0.001
density,5320.0,0.995,0.995,0.003,0.987,0.992,0.995,0.997,1.004,0.025
pH,5320.0,3.224,3.21,0.158,2.78,3.11,3.21,3.33,3.66,0.271
sulphates,5320.0,0.528,0.51,0.131,0.22,0.43,0.51,0.6,0.855,0.625
alcohol,5320.0,10.549,10.4,1.186,8.0,9.5,10.4,11.4,14.25,0.543
quality,5320.0,5.796,6.0,0.88,3.0,5.0,6.0,6.0,9.0,0.147
